Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"582399000","2231700","3268","4367.6",""
"583291000","2231700","3269","4373.9",""
"584125000","2231700","3269","4380.6",""
"584958000","2209300","3269","4386.1",""
"585798000","2209300","3269","4392.4",""
"586882000","2209300","3269","4400.3",""
"587774000","2209300","3269","4407.0",""
"588608000","2209300","3269","4413.4",""
"589442000","2209300","3270","4418.9","0x3D3BD3C80004870"
"590276000","2209300","3269","4425.6",""
"591360000","2209300","3269","4433.1",""
"592252000","2228800","3269","4439.8",""
"593086000","2228800","3269","4445.7",""
"593919000","2228800","3269","4452.0",""
"594754000","2228800","3269","4459.1",""
"595843000","2228800","3269","4467.8",""
"596734000","2228800","3269","4475.3",""
"597570000","2228800","3269","4482.0",""
"598404000","2228800","3269","4488.7","0x3D3BD3AC0004870"
"599237000","2414300","3269","4495.4","0x3D3AEF680004870"
"600379000","2414300","3269","4504.5",""
"601212000","2414300","3269","4511.6",""
"602052000","2414300","3269","4518.3","0x3D3BD36C0004870"
"602885000","2414300","3269","4525.4","0x3D3AF3880004870"
"603718000","2414300","3269","4532.1",""
"604802000","2414300","3269","4540.0",""
"605699000","2387600","3269","4546.3",""
"606533000","2387600","3269","4553.1",""
"607366000","2387600","3269","4558.6",""
